#SampleID,read_length_bp,sequences_split_libraries,observations_closed_ref_greengenes,observations_closed_ref_silva,observations_open_ref_greengenes,observations_deblur_90bp
550.L1S116.s.1.sequence,132,33383,32153,32453,33337,22567
550.L1S119.s.1.sequence,132,40944,39472,39929,40870,27871
550.L1S164.s.1.sequence,132,35636,34550,34666,35599,24134
550.L1S194.s.1.sequence,132,46992,43925,43852,46875,30041
550.L1S20.s.1.sequence,132,30131,29179,29553,30094,21132
550.L1S26.s.1.sequence,132,29907,29034,29310,29865,20875
550.L1S264.s.1.sequence,132,40565,39123,39200,40433,25919
550.L1S273.s.1.sequence,132,49669,47800,48154,49582,32962
550.L2S103.s.2.sequence,132,16954,15824,16107,16870,10838
550.L2S144.s.2.sequence,132,20378,18484,19185,20280,13559
550.L2S164.s.2.sequence,132,16832,15888,16278,16768,11276
550.L2S166.s.2.sequence,132,16622,14630,15129,16545,10635
550.L2S303.s.2.sequence,132,21703,21149,21291,21669,16250
550.L2S377.s.2.sequence,132,18580,17692,17927,18514,11904
550.L4S1.s.4.sequence,132,69716,67343,67582,69538,47314
550.L4S102.s.4.sequence,132,47002,44043,44976,46783,30347
550.L4S122.s.4.sequence,132,44084,42135,42287,43960,31629
550.L4S140.s.4.sequence,132,33416,32255,32613,33371,21734
550.L4S158.s.4.sequence,132,39556,38937,39048,39521,28686
550.L4S161.s.4.sequence,132,40673,38131,38838,40530,26217
550.L4S183.s.4.sequence,132,42906,42309,42429,42847,31601
550.L5S119.s.5.sequence,132,10470,10169,10253,10457,8060
550.L5S224.s.5.sequence,132,10892,10407,10645,10888,8456
550.L5S258.s.5.sequence,132,11284,11045,11065,11278,8693
550.L6S104.s.6.sequence,132,45100,43379,43944,45070,34771
550.L6S144.s.6.sequence,132,43871,42619,42820,43854,34508
550.L6S149.s.6.sequence,132,36821,35624,35807,36800,28528
550.L6S176.s.6.sequence,132,37428,36801,36902,37421,29224
550.L6S186.s.6.sequence,132,36166,35134,35245,36149,27779
550.L6S197.s.6.sequence,132,27392,26666,26978,27382,20656
550.L6S231.s.6.sequence,132,36569,35561,35708,36554,28197
550.L6S261.s.6.sequence,132,31984,31209,31326,31975,24655
550.L6S265.s.6.sequence,132,28157,27498,27576,28143,21865
550.L6S269.s.6.sequence,132,35602,34700,34812,35587,27829
550.L6S272.s.6.sequence,132,31942,31164,31304,31926,24115
550.L6S289.s.6.sequence,132,38509,37503,37610,38495,30363
550.L6S309.s.6.sequence,132,33460,32617,32735,33438,26615
632.Agricultural.soil.wheat,100,254667,194725,202513,236619,93645
632.Arctic.Tundra.1,100,145592,112277,114891,137752,56060
632.Temperate.deciduous.forest,100,160362,120070,124649,147712,57253
638.ELB18.111810.2,100,409660,267338,294409,405394,246139
638.ELB6.111810.2,100,665113,521428,545036,661251,437823
638.FRX6.120710.1,100,552698,430390,446192,541983,287306
638.FRX7.120910.2,100,716093,593535,609665,705982,398992
638.RMK.ENR.11.2,100,428944,341934,345075,427926,282287
638.RMK.ENR.12.1,100,600214,532605,541599,598908,447205
638.RMK.ENR.23.1,100,519229,445743,442363,516432,320333
638.RMK.ENR.27.1,100,621054,570151,575878,618256,426620
638.RMK.ENR.34.2,100,681983,674191,674002,681302,589438
638.RMK.ENR.35.1,100,598013,581999,582320,597277,493510
638.VAN20.120210.1,100,535724,374629,403678,531162,330949
638.VAN35.120210.1,100,531148,468922,480105,526822,348748
659.NZFACE.R1.Browntop,100,639017,545858,555911,626312,312315
659.NZFACE.R2.Ryegrass.24.4,100,203769,168334,172487,197467,90646
659.NZFACE.R5.Browntop,100,167076,139067,142084,162532,75575
662.M1,140,298351,275292,280849,297717,201116
662.M2,140,281588,219846,230554,280463,177503
662.M3,140,187735,165334,168100,186813,119184
662.M4,140,271744,221436,231443,270818,181115
662.M5a,140,230631,140483,167126,229193,142987
662.M5b,140,217961,134035,169479,217037,139000
662.M6,140,264891,216327,224442,264004,173316
662.M7,140,190126,119987,137364,186818,106458
662.M8,140,267369,193137,206711,265324,168752
662.M9,140,348049,289191,301911,346077,209551
662.M10,140,167343,93244,103357,165175,103066
662.M11,140,184668,144613,153755,184437,142001
662.M12,140,174369,127880,129485,172044,111666
662.M13,140,188065,153533,154999,187625,135046
662.M14,140,123532,85940,89866,123045,77751
662.M15,140,134608,120452,120612,134483,110898
662.M16,140,163505,145117,145302,163367,130260
662.M17,140,133163,65774,65905,133077,112285
662.M18,140,119728,108725,108758,119677,98402
662.M20,140,208153,175562,182645,207694,147312
662.M21,140,196885,152785,164648,196401,125258
662.M22,140,138794,109610,116298,138352,89572
662.M23,140,119426,98167,102359,119185,78147
662.M24,140,141777,94484,96499,141287,82314
662.M25,140,162980,117987,131036,162485,101190
662.M26,140,87527,73083,80836,87394,63582
662.M27,140,127464,107796,111600,127152,82032
662.M28,140,265605,238609,247677,265172,209852
662.M29,140,130183,100923,108584,129868,82103
662.M30,140,147981,100862,104858,147710,100305
662.M31,140,110670,92972,97690,110472,74402
662.M32,140,183731,140271,150091,179103,95623
662.M33,140,162477,138094,142703,159600,97430
662.M34,140,142661,135568,136302,142013,113284
662.M35,140,137638,72076,81138,136628,89891
662.M36,140,203048,112027,128659,200558,126515
662.M37,140,156039,86810,101373,154974,101602
662.M38,140,169014,98160,103995,165946,99462
662.M39,140,158006,98681,106064,155847,96671
662.M40,140,152353,92652,104110,151103,92867
662.M41,140,236523,146811,157998,233341,141446
662.M42,140,171503,95010,117791,169890,110176
662.M43,140,205732,134711,146270,203551,121825
662.M44,140,159506,84445,92611,158026,107609
662.C1,140,143001,117842,124012,142490,95628
662.C2,140,166609,134404,141594,166061,114431
678.OA.mesocosm.362,143,87912,58613,63549,86707,40702
678.OA.mesocosm.376,143,31471,20139,22078,31110,15180
678.OA.mesocosm.410,143,39155,26873,29378,38811,18674
678.OA.mesocosm.417,143,125273,80853,87524,122662,53128
