date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-12-03,36.0333,36.2036,35.7882,36.0402,2478051,2478051,-0.19065,-0.526,36.0089,"Dec 3, 13",0
2013-12-04,35.9789,36.653,35.8972,36.4827,2415795,2415795,0.442584,1.228,36.4148,"Dec 4, 13",0.012277956282151668
2013-12-05,36.3261,36.6325,36.1661,36.4283,1810391,1810391,-0.054473,-0.149,36.435,"Dec 5, 13",0.010768530696278086
2013-12-06,36.6053,37.402,36.6053,37.3339,3053347,3053347,0.905602,2.486,37.1766,"Dec 6, 13",0.03589602721405545
2013-12-09,37.3134,37.7424,37.2726,37.4905,2118503,2118503,0.156607,0.419,37.4365,"Dec 9, 13",0.04024117513221343
2013-12-10,37.3883,37.7628,37.1977,37.6811,2326895,2326895,0.190651,0.509,37.664,"Dec 10, 13",0.04552971404154256
2013-12-11,37.6879,37.9194,37.2317,37.3407,2349926,2349926,-0.340449,-0.904,37.4609,"Dec 11, 13",0.0360847054122896
2013-12-12,37.1977,37.8037,36.973,37.6267,2714297,2714297,0.285975,0.766,37.525,"Dec 12, 13",0.04402028845566897
2013-12-13,37.6947,38.0624,37.3815,37.5586,2022610,2022610,-0.068088,-0.181,37.6639,"Dec 13, 13",0.0421307317939412
2013-12-16,37.6198,37.9875,37.4973,37.613,1685454,1685454,0.054471,0.145,37.6019,"Dec 16, 13",0.04364015737981479
2013-12-17,38.1033,39.0089,38.0012,38.3825,3209227,3209227,0.769421,2.046,38.4539,"Dec 17, 13",0.0649913152535225
2013-12-18,38.471,39.4515,38.3825,39.4174,4136283,4136283,1.035,2.696,38.9064,"Dec 18, 13",0.09370647221713536
2013-12-19,39.1995,39.3766,38.8591,39.0702,1893211,1893211,-0.347259,-0.881,39.0778,"Dec 19, 13",0.08407278538964826
2013-12-20,39.1314,39.2676,38.7501,38.7842,2954031,2954031,-0.285981,-0.732,38.9687,"Dec 20, 13",0.07613720234626889
2013-12-23,39.1178,39.2574,38.8931,39.1791,1578464,1578464,0.394926,1.018,39.096,"Dec 23, 13",0.08709441124078111
2013-12-24,39.1519,39.2268,38.9272,38.968,779696,779696,-0.21108,-0.539,39.0634,"Dec 24, 13",0.08123706305736386
2013-12-26,38.9748,39.2949,38.9748,39.1246,714431,714431,0.156607,0.402,39.1182,"Dec 26, 13",0.08558221097552185
2013-12-27,39.0577,39.1874,38.9827,39.0168,653055,653055,-0.107843,-0.276,39.0554,"Dec 27, 13",0.08259110659763277
2013-12-30,38.9349,39.2147,38.8462,39.1192,1127980,1127980,0.102369,0.262,39.1001,"Dec 30, 13",0.08543237828868876
2013-12-31,39.2079,39.2761,38.9554,39.0305,941447,941447,-0.088716,-0.227,39.0993,"Dec 31, 13",0.08297123767348696
2014-01-02,38.969,38.969,38.3207,38.3616,1916160,1916160,-0.66882,-1.714,38.4678,"Jan 2, 14",0.064411407261891
2014-01-03,38.4845,39.1362,38.3958,38.8462,1866651,1866651,0.48455,1.263,38.8905,"Jan 3, 14",0.07785750356546314
2014-01-06,39.1738,39.3785,38.6005,38.6551,1777472,1777472,-0.191089,-0.492,38.7552,"Jan 6, 14",0.07255509125920497
2014-01-07,38.8667,39.3307,38.853,39.2079,1463208,1463208,0.5528,1.43,39.1913,"Jan 7, 14",0.08789351890389076
2014-01-08,39.126,39.9518,39.0168,39.8494,2659468,2659468,0.641522,1.636,40.3252,"Jan 8, 14",0.10569308716377834
2014-01-09,39.8562,40.0473,39.4945,39.8631,1757647,1757647,0.013647,0.034,39.8115,"Jan 9, 14",0.10607321823963253
2014-01-10,39.9313,40.2725,39.6788,40.2179,1623330,1623330,0.354886,0.89,40.0994,"Jan 10, 14",0.1159177807004401
2014-01-13,40.1088,40.334,39.9927,40.2179,2946738,2946738,0,0,40.2753,"Jan 13, 14",0.1159177807004401
2014-01-14,40.3749,40.9141,40.2794,40.8663,2562236,2562236,0.648347,1.612,40.6561,"Jan 14, 14",0.13390880183794773
2014-01-15,40.8253,41.1973,40.665,41.1802,2335194,2335194,0.313933,0.768,40.9876,"Jan 15, 14",0.14261852042996434
2014-01-16,41.112,41.2894,40.9755,41.2894,1835957,1835957,0.109197,0.265,41.2017,"Jan 16, 14",0.14564847031925468
2014-01-17,41.5146,41.5146,41.1734,41.4327,1699534,1699534,0.143321,0.347,41.2721,"Jan 17, 14",0.14962458587910163
2014-01-21,41.4191,41.5488,40.8526,41.5283,3008458,3008458,0.095545,0.231,47.1294,"Jan 21, 14",0.15227717937192367
2014-01-22,41.5078,41.7808,41.4327,41.5829,2769350,2769350,0.054597,0.131,41.5539,"Jan 22, 14",0.1537921543165688
2014-01-23,41.2758,41.2963,40.5421,40.5865,3063559,3063559,-0.996405,-2.396,40.5509,"Jan 23, 14",0.12614524891648776
2014-01-24,40.4159,40.5797,39.3853,39.4945,2656341,2656341,-1.092,-2.69,39.3109,"Jan 24, 14",0.09584575002358488
2014-01-27,39.515,39.8358,38.8871,39.788,4669012,4669012,0.293464,0.743,39.4462,"Jan 27, 14",0.10398943402089883
2014-01-28,39.9245,40.1838,39.5218,39.6515,2536290,2536290,-0.136495,-0.343,39.8142,"Jan 28, 14",0.10020199665928602
2014-01-29,39.358,39.7316,39.1806,39.3444,2163031,2163031,-0.307113,-0.775,39.2986,"Jan 29, 14",0.09168095626550357
2014-01-30,39.8699,41.0233,39.8699,40.6138,3743153,3743153,1.2694,3.226,40.4951,"Jan 30, 14",0.12690273638881025
2014-01-31,39.9996,40.3681,39.6174,39.6856,3529054,3529054,-0.928159,-2.285,39.9728,"Jan 31, 14",0.10114816232984285
2014-02-03,39.6856,39.9108,38.2695,38.3207,2929252,2929252,-1.3649,-3.439,38.3643,"Feb 3, 14",0.06327656339310003
2014-02-04,38.4367,39.5014,38.2797,39.4536,2911877,2911877,1.1329,2.956,38.7236,"Feb 4, 14",0.0947109061547939
2014-02-05,39.2966,39.3785,38.8735,39.1942,2283870,2283870,-0.259337,-0.657,38.9721,"Feb 5, 14",0.08751338782803657
2014-02-06,39.2488,39.8221,39.2147,39.7812,1609451,1609451,0.586919,1.497,39.6656,"Feb 6, 14",0.10380075582266468
2014-02-07,39.8972,40.5831,39.672,40.5524,1975290,1975290,0.771193,1.939,40.061,"Feb 7, 14",0.12519908324593093
2014-02-10,40.45,40.566,39.7812,40.2725,1760468,1760468,-0.279815,-0.69,40.1022,"Feb 10, 14",0.11743275564508528
2014-02-11,40.2657,40.9482,40.1838,40.7639,2148202,2148202,0.491378,1.22,40.7705,"Feb 11, 14",0.13106753014689157
2014-02-12,40.9482,41.2621,40.723,40.8731,2347270,2347270,0.109198,0.268,40.9343,"Feb 12, 14",0.13409748003618188
2014-02-13,40.5728,41.2075,40.5182,41.0028,3097011,3097011,0.129671,0.317,40.8237,"Feb 13, 14",0.13769623919956056
2014-02-14,39.0031,39.4263,37.4471,37.7065,17862776,17862776,-3.2963,-8.039,38.1621,"Feb 14, 14",0.04623448260553492
2014-02-18,37.7952,38.2456,37.5085,37.6382,6553839,6553839,-0.068249,-0.181,37.7385,"Feb 18, 14",0.044339376585035575
2014-02-19,37.5427,38.6619,37.4676,38.1774,4838795,4838795,0.539151,1.432,38.3044,"Feb 19, 14",0.05930044783325287
2014-02-20,38.3139,39.2659,38.249,39.0987,4629755,4629755,0.921337,2.413,38.8961,"Feb 20, 14",0.08486356901460043
2014-02-21,39.0714,39.1738,38.4367,38.4504,2407171,2407171,-0.648347,-1.658,38.7032,"Feb 21, 14",0.0668753225564787
2014-02-24,38.5254,38.8871,38.4913,38.7302,2392783,2392783,0.279813,0.728,38.7361,"Feb 24, 14",0.07463887547793865
2014-02-25,38.7643,39.2898,38.7302,38.8257,3375173,3375173,0.095548,0.247,39.1953,"Feb 25, 14",0.07728869429137461
2014-02-26,38.8871,39.3239,38.7302,38.969,2400946,2400946,0.143315,0.369,38.9609,"Feb 26, 14",0.08126480985122177
2014-02-27,38.9144,39.0919,38.348,38.464,3123781,3123781,-0.505028,-1.296,38.6213,"Feb 27, 14",0.06725267895294698
2014-02-28,38.5254,38.9759,38.4913,38.853,2876261,2876261,0.38901,1.011,38.8127,"Feb 28, 14",0.07804618176369729
2014-03-03,38.3002,38.9827,38.0716,38.7029,2488373,2488373,-0.150144,-0.386,38.5388,"Mar 3, 14",0.07388138800561599
2014-03-04,39.0509,39.5832,38.8871,39.4331,2841919,2841919,0.730242,1.887,39.3047,"Mar 4, 14",0.09414209688070556
2014-03-05,39.3853,39.5832,39.2796,39.4468,3113546,3113546,0.013647,0.035,39.4424,"Mar 5, 14",0.09452222795655975
2014-03-06,39.8494,40.4841,39.6788,40.1088,5178833,5178833,0.661996,1.678,40.1125,"Mar 6, 14",0.11289060549053567
2014-03-07,40.3067,40.4022,39.2557,39.8699,3247154,3247154,-0.238861,-0.596,39.6828,"Mar 7, 14",0.10626189643786668
2014-03-10,39.7812,39.8153,39.3103,39.6856,2563418,2563418,-0.184268,-0.462,39.5165,"Mar 10, 14",0.10114816232984285
2014-03-11,39.7402,39.788,38.5595,38.8052,3421731,3421731,-0.880385,-2.218,38.9464,"Mar 11, 14",0.07671988501728627
2014-03-12,38.5732,38.9554,38.2251,38.9417,1652324,1652324,0.136492,0.352,38.7661,"Mar 12, 14",0.08050732237889908
2014-03-13,39.01,39.1738,38.0613,38.1159,2318832,2318832,-0.825787,-2.121,38.3991,"Mar 13, 14",0.057594020010987866
2014-03-14,37.9521,38.2047,37.6928,37.8361,1745218,1745218,-0.279813,-0.734,37.982,"Mar 14, 14",0.049830467089527895
2014-03-17,37.9999,38.4981,37.8634,38.0818,1437471,1437471,0.24569,0.649,38.0381,"Mar 17, 14",0.056647854340431035
2014-03-18,38.1978,38.7711,38.1091,38.7575,1294681,1294681,0.675643,1.774,38.6696,"Mar 18, 14",0.07539636295026114
2014-03-19,38.7097,39.0031,38.3412,38.6483,1804350,1804350,-0.109197,-0.282,37.8122,"Mar 19, 14",0.07236641306097082
2014-03-20,38.5868,38.853,38.3275,38.696,1808447,1808447,0.047777,0.124,38.684,"Mar 20, 14",0.07368993512799595
2014-03-21,39.0236,39.4331,38.191,38.2797,2762931,2762931,-0.41631,-1.076,37.1096,"Mar 21, 14",0.06213894484492316
2014-03-24,38.2729,38.3753,37.3038,37.7133,1985703,1985703,-0.566448,-1.48,37.6464,"Mar 24, 14",0.04642316080376907
2014-03-25,37.8771,38.3616,37.5222,37.645,1727269,1727269,-0.068249,-0.181,37.784,"Mar 25, 14",0.04452805478326992
2014-03-26,37.8088,38.2115,37.645,37.6519,2560731,2560731,0.006826,0.018,37.7869,"Mar 26, 14",0.04471950766088976
2014-03-27,37.9453,37.9453,37.0035,37.3243,2972614,2972614,-0.327586,-0.87,37.2684,"Mar 27, 14",0.03562965799301897
2014-03-28,37.4335,37.7065,37.14,37.3243,2006941,2006941,0,0,37.3952,"Mar 28, 14",0.03562965799301897
2014-03-31,37.5154,38.2524,37.2424,38.1637,2190772,2190772,0.839441,2.249,38.0968,"Mar 31, 14",0.058920316757398686
2014-04-01,38.3548,38.6414,38.1057,38.464,2090720,2090720,0.300284,0.787,38.3852,"Apr 1, 14",0.06725267895294698
2014-04-02,38.5049,38.696,38.3548,38.6756,1919493,1919493,0.211567,0.55,38.5652,"Apr 2, 14",0.0731239005332935
2014-04-03,38.7438,38.9963,38.4026,38.6278,1603010,1603010,-0.047773,-0.124,38.6046,"Apr 3, 14",0.07179760378688248
2014-04-04,38.969,39.0646,37.9112,37.9248,2307668,2307668,-0.702945,-1.82,39.7991,"Apr 4, 14",0.05229160770472969
