date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-12-04,162.2749,163.5253,161.5954,162.8457,123032637,123032637,-0.018123,-0.011,162.7241,"Dec 4, 13",0
2013-12-05,162.5558,162.8548,161.976,162.13,106934067,106934067,-0.715787,-0.44,162.5248,"Dec 5, 13",-0.004394957926429732
2013-12-06,163.6974,164.0961,163.2263,163.9421,127727518,127727518,1.8121,1.118,165.0498,"Dec 6, 13",0.006732753766295438
2013-12-09,164.4223,164.6035,164.1414,164.3589,70123608,70123608,0.41679,0.254,165.4882,"Dec 9, 13",0.00929223184892209
2013-12-10,163.9783,164.3226,163.6657,163.7699,80976207,80976207,-0.588938,-0.358,163.967,"Dec 10, 13",0.005675311045977961
2013-12-11,163.8243,163.8605,161.7313,161.9306,130590810,130590810,-1.8393,-1.123,166.393,"Dec 11, 13",-0.0056194299266114816
2013-12-12,161.8581,162.0575,161.0608,161.3961,115564840,115564840,-0.534574,-0.33,161.6459,"Dec 12, 13",-0.008901678091592249
2013-12-13,161.7313,161.8763,161.0699,161.3779,107807610,107807610,-0.018121,-0.011,162.4592,"Dec 13, 13",-0.009013440330324859
2013-12-16,162.139,162.9182,162.0937,162.38,96194790,96194790,1.0021,0.621,162.4304,"Dec 16, 13",-0.0028597623394415587
2013-12-17,162.5105,162.5558,161.5048,161.8672,89886224,89886224,-0.512829,-0.316,161.9947,"Dec 17, 13",-0.0060087555274716915
2013-12-18,162.1118,164.6579,160.6621,164.6307,234906482,234906482,2.7635,1.707,162.8381,"Dec 18, 13",0.010961296491095538
2013-12-19,164.1686,164.6307,163.7337,164.4404,136298872,136298872,-0.19027,-0.116,164.9681,"Dec 19, 13",0.009792705610280268
2013-12-20,164.5864,165.7889,164.4937,165.3971,197086908,197086908,0.95673,0.582,166.8766,"Dec 20, 13",0.01566759208256651
2013-12-23,166.1715,166.381,165.8572,166.2808,85597541,85597541,0.88365,0.534,166.5865,"Dec 23, 13",0.021094201443452334
2013-12-24,166.2899,166.7181,166.2808,166.6452,45368841,45368841,0.364393,0.219,166.6234,"Dec 24, 13",0.02333190253104623
2013-12-26,167.0187,167.5835,167.0005,167.4878,63365227,63365227,0.842654,0.506,167.2709,"Dec 26, 13",0.028506125737431196
2013-12-27,167.711,167.7839,167.3102,167.4787,61813841,61813841,-0.009111,-0.005,168.8732,"Dec 27, 13",0.02845024461806489
2013-12-30,167.5015,167.6381,167.2373,167.456,56857458,56857458,-0.022772,-0.014,167.4005,"Dec 30, 13",0.028310848858766276
2013-12-31,167.6837,168.2485,167.5562,168.2485,86247638,86247638,0.792551,0.473,170.2464,"Dec 31, 13",0.033177418869518895
2014-01-02,167.6017,167.6837,166.2352,166.6361,119636836,119636836,-1.6124,-0.958,166.5334,"Jan 2, 14",0.023276021411679924
2014-01-03,166.9003,167.2555,166.3719,166.6042,81390502,81390502,-0.031883,-0.019,166.79,"Jan 3, 14",0.023080130454780187
2014-01-06,167.1371,167.2191,165.8708,166.1259,108028139,108028139,-0.478262,-0.287,167.1753,"Jan 6, 14",0.020142994257754475
2014-01-07,166.7909,167.4286,166.6634,167.1462,86144169,86144169,1.0203,0.614,170.8485,"Jan 7, 14",0.02640843448737056
2014-01-08,167.1189,167.4651,166.6087,167.1827,96582234,96582234,0.036438,0.022,167.1242,"Jan 8, 14",0.026632573043070942
2014-01-09,167.711,167.7384,166.5222,167.292,90683302,90683302,0.10932,0.065,169.8234,"Jan 9, 14",0.027303760553702112
2014-01-10,167.5744,167.8203,166.7181,167.7475,102026318,102026318,0.455486,0.272,167.5677,"Jan 10, 14",0.03010088691319457
2014-01-13,167.3557,167.7839,165.1967,165.511,149891938,149891938,-2.2364,-1.333,167.0551,"Jan 13, 14",0.016367027191998326
2014-01-14,166.053,167.4104,165.7524,167.3193,105016055,105016055,1.8083,1.093,172.569,"Jan 14, 14",0.027471403911801202
2014-01-15,167.711,168.4762,167.3559,168.2212,98525721,98525721,0.901866,0.539,168.2333,"Jan 15, 14",0.03300977551141981
